"id","run_number","trial","block","stim1","stim2","feedback","choice","outcome","times_too_slow","trial_started","iti_ideal_lag","stim_time","choice_time","reaction_time","correct_choice","feedback_isi","feedback_time","every_ten","experiment_date","experiment_build","site","trial_type","trial_started_next","stim_time_next","iti_ideal","too_slow_lead","bad_trial","outcome_fac","iti_actual","trial_completed","was_slow","was_slow_lead","rt_diff"
221604,2,15,1001,66,-1000,1,0,-1,0,135.8913878,3.31,140.133136599999,141.4113191,2.03577390000009,0,2.95,144.4602176,0,2021-05-17 20:54:22,"2-Feb-2021","pitt","new_learn",145.5433887,148.0399732,2.3,0,FALSE,"loss",2.5797556,NA,"FALSE","FALSE",0.75759139999911
221604,2,19,1001,82,-1000,1,0,1,0,171.2445662,2.35,174.4420872,175.4470175,1.68133820000003,1,1.39,176.9466116,0,2021-05-17 20:54:22,"2-Feb-2021","pitt","new_learn",178.0295367,182.8694036,4.69,0,FALSE,"win",4.92279199999999,NA,"FALSE","FALSE",0.676407900000046
221604,2,22,1001,56,-1000,0,0,0,0,199.7223149,2.35,203.0686244,204.1237533,1.88171460000012,1,1.46,205.7228888,0,2021-05-17 20:54:22,"2-Feb-2021","pitt","accrej",206.8129357,211.5750426,4.62,0,FALSE,"nothing",4.8521538,NA,"FALSE","FALSE",0.82658570000012
221604,2,24,1001,21,-1000,0,0,-1,0,219.2015671,1.81,221.9028016,222.9242242,1.73508439999932,0,2.34,225.3083173,0,2021-05-17 20:54:22,"2-Feb-2021","pitt","accrej",226.3951089,229.4726668,2.82,0,FALSE,"loss",3.16434950000001,NA,"FALSE","FALSE",0.713661799999326
221604,2,26,1001,84,-1000,1,0,1,0,236.758298,4.71,242.4290095,243.5731767,1.85918969999966,0,1.85,245.5278719,0,2021-05-17 20:54:22,"2-Feb-2021","pitt","new_learn",246.6134363,249.4393777,2.64,0,FALSE,"win",2.91150579999999,NA,"FALSE","FALSE",0.715022499999662
221604,2,28,1001,80,-1000,0,0,0,0,254.330197,2.06,257.4431103,258.688906,2.06879750000007,1,1.6,260.335139,0,2021-05-17 20:54:22,"2-Feb-2021","pitt","accrej",261.4189775,263.4331613,1.75,0,FALSE,"nothing",2.09802229999997,NA,"FALSE","FALSE",0.823001800000096
221604,2,31,1001,97,-1000,1,0,1,0,280.1725484,1.87,282.925529,283.8785983,1.6244772,1,4.4,288.4047443,0,2021-05-17 20:54:22,"2-Feb-2021","pitt","new_learn",289.4594474,292.5954958,2.22,0,FALSE,"win",3.19075149999998,NA,"FALSE","FALSE",0.671407899999962
221604,2,32,1001,120,-1000,1,0,-1,0,289.4594474,2.22,292.5954958,294.0879342,2.20842809999976,0,5.08,299.2066981,0,2021-05-17 20:54:22,"2-Feb-2021","pitt","new_learn",300.2608587,302.6792872,2.23,0,FALSE,"loss",2.47258909999999,NA,"FALSE","FALSE",0.715989699999734
221604,2,36,1001,131,-1000,0,0,-1,0,329.9952052,2.3,333.0954001,334.0550767,1.53719730000012,1,1.6,335.6991785,0,2021-05-17 20:54:22,"2-Feb-2021","pitt","accrej",336.789071,340.6403891,3.5,0,FALSE,"loss",3.94121059999998,NA,"FALSE","FALSE",0.577520700000154
221604,2,40,1001,88,-1000,0,0,1,0,360.8094924,3.33,365.0960792,366.259802,1.89061029999993,1,3.96,370.3232073,371.3549885,2021-05-17 20:54:22,"2-Feb-2021","pitt","accrej",373.9139481,376.3464666,2.38,0,FALSE,"win",5.02325930000001,NA,"FALSE","FALSE",0.72688749999997
221604,2,42,1001,113,-1000,0,1,1,0,382.3983456,5.87,389.0787019,390.2686415,1.86444549999942,1,1.42,391.7752229,0,2021-05-17 20:54:22,"2-Feb-2021","pitt","accrej",392.8758873,396.3581795,3.36,0,FALSE,"win",3.58295659999999,NA,"FALSE","FALSE",0.674505899999418
221604,2,44,1001,79,-1000,1,0,1,0,401.9567011,1.77,404.6297845,405.856717,1.91444020000017,1,4.45,410.428859099999,0,2021-05-17 20:54:22,"2-Feb-2021","pitt","new_learn",411.4849128,413.5041755,1.87,0,FALSE,"win",2.07531640000099,NA,"FALSE","FALSE",0.687507700000195
221604,2,46,1001,108,-1000,0,0,-1,0,418.2604781,1.78,420.9358259,422.5609261,2.31143000000066,0,1.12,423.7620494,0,2021-05-17 20:54:22,"2-Feb-2021","pitt","accrej",424.8219082,427.781788300001,2.79,0,FALSE,"loss",3.01973890000096,NA,"FALSE","FALSE",0.68632980000064
