id,run_number,trial,block,stim1,stim2,feedback,choice,outcome,times_too_slow,trial_started,iti,stim_time,choice_time,reaction_time,correct_choice,feedback_lag,feedback_time,every_ten,trial_type,next_start,too_slow_lead
220256,1,5,1000,66,-1000,0,0,0,1,54.4974029064178,3.25,57.7998960018158,58.3667109012604,0.574629068374634,0,0.88,59.3037707805634,0,accrej,60.3826367855072,0
220256,1,6,1000,22,-1000,0,1,1,0,60.3826367855072,2.48,62.9204239845276,64.5659558773041,1.65620398521423,0,4.34,68.9488618373871,0,accrej,70.0205249786377,0
220256,1,7,1000,181,182,1,0,0,0,70.0205249786377,2.28,72.3648068904877,73.7197458744049,1.34534311294556,1,0.96,76.3205938339233,0,new_learn,77.3601658344269,0
220256,1,8,1000,180,181,1,0,0,0,77.3601658344269,3.59,81.0036239624023,83.6921370029449,2.68358993530273,0,4.79,88.5370218753815,0,new_learn,89.5963628292084,0
220256,1,9,1000,181,180,1,0,1,0,89.5963628292084,1.98,91.6283459663391,93.3346388339996,1.70140886306763,1,0.83,95.9277019500732,0,new_learn,96.9799768924713,0
220256,1,10,1000,181,180,1,1,-1,0,96.9799768924713,1.96,98.9941239356995,100.867158889771,1.86569595336914,0,0.7,103.460347890854,104.473122835159,new_learn,107.032039880753,0
220256,1,11,1000,181,182,1,1,1,0,107.032039880753,2,109.077187776566,110.639895915985,1.55766415596008,0,1.11,113.242274999619,0,new_learn,114.288121938705,0
220256,1,12,1000,180,181,1,1,1,0,114.288121938705,2.38,116.724864959717,118.601333856583,1.87189698219299,1,2.61,121.257828950882,0,new_learn,122.311077833176,0
220256,1,13,1000,44,-1000,0,1,0,0,122.311077833176,2.93,125.307300806046,127.345023870468,2.05324101448059,1,1.66,129.039924860001,0,accrej,130.086258888245,0
220256,1,14,1000,182,180,1,0,0,0,130.086258888245,2.64,132.772594928741,134.251526832581,1.47498607635498,1,1.71,136.85528588295,0,new_learn,137.899793863297,0
220256,1,15,1000,96,-1000,0,1,1,0,137.899793863297,2.89,140.838179826736,142.722935914993,1.89706492424011,1,3,145.772611856461,0,accrej,153.964912891388,1
220256,1,16,1000,107,-1000,0,0,-1,1,153.964912891388,2.05,156.052665948868,156.702976942062,0.654957056045532,1,0.97,157.719491004944,0,accrej,158.787968873978,0
220256,1,17,1000,182,181,1,0,0,0,158.787968873978,2.56,161.401946783066,162.639493942261,1.23199510574341,0,4.17,166.836591959,0,new_learn,167.877222776413,0
220256,1,18,1000,112,-1000,0,1,-1,0,167.877222776413,3.21,171.136567831039,172.54323887825,1.416100025177,0,2.53,175.103082895279,0,accrej,176.143763780594,0
220256,1,19,1000,32,-1000,0,1,1,0,176.143763780594,3.07,179.267144918442,180.660789966583,1.4067108631134,1,0.75,181.4533867836,0,accrej,182.512609958649,0
220256,1,20,1000,63,-1000,0,1,1,0,182.512609958649,2.43,184.987118959427,186.662887811661,1.68348503112793,1,4.81,191.503564834595,192.53989481926,accrej,195.102715969086,0
220256,1,21,1000,180,182,1,1,-1,0,195.102715969086,2.67,197.831977844238,199.664194822311,1.82342600822449,1,0.86,202.270874977112,0,new_learn,203.298963785172,0
220256,1,22,1000,21,-1000,0,1,1,0,203.298963785172,2.01,205.354345798492,206.819441795349,1.46631908416748,1,1.56,208.404415845871,0,accrej,209.449258804321,0
220256,1,23,1000,181,182,1,1,0,0,209.449258804321,2.2,211.704330921173,213.471294879913,1.76521301269531,0,4.31,217.81343793869,0,new_learn,218.870531797409,0
220256,1,24,1000,180,182,1,1,0,0,218.870531797409,2.94,221.871263980865,223.485313892365,1.6098518371582,1,1.41,226.071761846542,0,new_learn,227.128663778305,0
220256,1,25,1000,180,181,1,0,-1,0,227.128663778305,2.03,229.212215900421,230.211681842804,0.994097948074341,0,4.29,234.538841962814,0,new_learn,235.594077825546,0
220256,1,26,1000,182,180,1,0,0,0,235.594077825546,4.28,239.927461862564,241.626748800278,1.69415807723999,1,1.53,244.205701828003,0,new_learn,245.247058868408,0
220256,1,27,1000,181,180,1,0,1,0,245.247058868408,2.98,248.276851892471,249.972263813019,1.68996095657349,1,4.77,254.776275873184,0,new_learn,255.831703901291,0
220256,1,28,1000,70,-1000,0,0,1,0,255.831703901291,2.25,258.12592792511,260.122831821442,2.00155687332153,1,2.7,262.858382940292,0,accrej,263.927294969559,0
220256,1,29,1000,65,-1000,0,1,0,0,263.927294969559,1.82,265.791664838791,267.210605859756,1.41979384422302,1,5.03,272.274317979813,0,accrej,273.345071792603,0
220256,1,30,1000,182,181,1,1,1,0,273.345071792603,8.12,281.523100852966,282.542150974274,1.01135492324829,1,1.83,285.12341094017,286.134652853012,new_learn,288.673681974411,0
220256,1,31,1000,95,-1000,0,1,-1,0,288.673681974411,2.44,291.172288894653,292.962094783783,1.80402684211731,1,1.17,294.173418998718,0,accrej,295.24293088913,0
220256,1,32,1000,181,180,1,0,1,0,295.24293088913,2.76,298.056798934937,299.594955921173,1.53105497360229,1,3.39,303.023729801178,0,new_learn,304.057931900024,0
220256,1,33,1000,67,-1000,0,1,-1,0,304.057931900024,2.28,306.3901720047,308.934048891068,2.55139112472534,0,2.76,311.723717927933,0,accrej,312.795936822891,0
220256,1,34,1000,80,-1000,0,0,0,0,312.795936822891,2.51,315.356975793839,317.059233903885,1.71444201469421,1,0.85,317.990406990051,0,accrej,319.048041820526,0
220256,1,35,1000,76,-1000,0,1,1,0,319.048041820526,6.51,325.607069969177,326.905580997467,1.30895400047302,0,3.09,330.023765802383,0,accrej,331.075308799744,0
220256,1,36,1000,180,181,1,1,1,0,331.075308799744,6.85,337.983608007431,339.468048810959,1.47884178161621,1,3.95,343.466544866562,0,new_learn,344.515314817429,0
220256,1,37,1000,182,180,1,0,0,0,344.515314817429,3.5,348.065650939941,349.53929400444,1.46900296211243,1,4.65,354.231910943985,0,new_learn,355.288578987122,0
220256,1,38,1000,180,182,1,1,0,0,355.288578987122,1.84,357.181620836258,358.965279817581,1.78028512001038,1,4.43,363.441516876221,0,new_learn,364.49627494812,0
220256,1,39,1000,181,182,1,0,1,0,364.49627494812,3.2,367.747620820999,368.812858819962,1.06128811836243,1,1.57,371.39169383049,0,new_learn,372.449093818665,0
220256,1,40,1000,90,-1000,0,1,1,0,372.449093818665,2.22,374.7124979496,376.113519906998,1.40372180938721,1,3.7,379.845352888107,380.87509393692,accrej,383.411076784134,0
220256,1,41,1000,182,181,1,1,-1,0,383.411076784134,2.28,385.744861841202,386.931447982788,1.1812641620636,1,5.17,392.143989801407,0,new_learn,393.168028831482,0
220256,1,42,1000,182,181,1,0,-1,0,393.168028831482,3.3,396.510449886322,397.898656845093,1.38185000419617,0,1.69,400.476642847061,0,new_learn,401.531627893448,0
220256,1,43,1000,69,-1000,0,1,-1,0,401.531627893448,2.32,403.892793893814,405.690387964249,1.79683303833008,1,4.83,410.558828830719,0,accrej,411.603453874588,0
220256,1,44,1000,94,-1000,0,0,0,0,411.603453874588,4.2,415.841892957687,416.499325990677,0.666529893875122,1,2.92,419.477437973022,0,accrej,420.522726774216,0
220256,1,45,1000,26,-1000,0,1,1,0,420.522726774216,3.44,424.025280952454,425.570319890976,1.55749702453613,1,3.3,428.9089179039,0,accrej,429.950966835022,0
220256,1,46,1000,181,182,1,0,1,0,429.950966835022,2.88,432.875296831131,434.52204990387,1.63837313652039,1,3.21,437.775818824768,0,new_learn,438.814909934998,0
220256,1,47,1000,180,182,1,0,-1,0,438.814909934998,3.12,441.988316774368,443.066720962524,1.07330417633057,0,4.89,448.003645896912,0,new_learn,449.026335954666,0
220256,1,48,1000,182,180,1,1,-1,0,449.026335954666,2.45,451.526516914368,451.660624980927,0.126189947128296,0,5.04,456.742519855499,0,new_learn,457.793897867203,0
220256,1,49,1000,99,-1000,0,1,0,0,457.793897867203,1.76,459.608967781067,460.298067808151,0.70026707649231,1,5.15,465.492595911026,0,accrej,466.560025930405,0
220256,1,50,1000,105,-1000,0,0,0,0,466.560025930405,2.45,469.068073987961,470.735565900803,1.6790931224823,0,4.96,475.750775814056,476.780288934708,accrej,493.234744787216,1
220256,1,51,1000,52,-1000,0,1,1,1,493.234744787216,8.8,502.092732906342,503.052543878555,0.971160173416138,0,3,506.080446958542,0,accrej,507.134355783463,0
220256,1,52,1000,181,180,1,0,1,0,507.134355783463,2,509.179754972458,511.055910825729,1.86939787864685,1,5.14,516.22913479805,0,new_learn,517.287801980972,0
220256,1,53,1000,101,-1000,0,1,1,0,517.287801980972,2.35,519.679605007172,521.564685821533,1.89214015007019,1,4.35,525.961095809937,0,accrej,527.00489282608,0
220256,1,54,1000,93,-1000,0,0,-1,0,527.00489282608,2.4,529.444540977478,531.682010889053,2.24149703979492,0,1.65,533.393723964691,0,accrej,541.835589885712,1
220256,1,55,1000,88,-1000,0,0,1,1,541.835589885712,2.26,544.143124818802,544.89786195755,0.770417928695679,1,3.47,548.409653902054,0,accrej,549.475344896317,0
220256,1,56,1000,103,-1000,0,0,-1,0,549.475344896317,5.57,555.093118906021,556.405540943146,1.31311202049255,1,4.44,560.909945011139,0,accrej,561.967408895493,0
220256,1,57,1000,78,-1000,0,0,-1,0,561.967408895493,1.87,563.893342971802,565.117854833603,1.23209309577942,0,0.93,566.106287956238,0,accrej,567.132091999054,0
220256,1,58,1000,38,-1000,0,0,1,0,567.132091999054,5.42,572.605582952499,574.067607879639,1.47491121292114,1,4.47,578.58766078949,0,accrej,579.621624946594,0
220256,1,59,1000,180,181,1,1,1,0,579.621624946594,3.49,583.170926809311,585.948884010315,2.77143406867981,1,2.86,588.843451976776,0,new_learn,589.899540901184,0
220256,1,60,1000,47,-1000,0,1,0,0,589.899540901184,1.8,591.743404865265,593.311733961105,1.57863283157349,1,1.52,594.876524925232,595.906842947006,accrej,598.457196950912,0
220256,1,61,1000,181,180,1,0,1,0,598.457196950912,1.76,600.260278940201,601.557740926743,1.29209494590759,1,4.26,605.834740877151,0,new_learn,615.380378961563,1
220256,1,62,1000,102,-1000,0,1,1,1,615.380378961563,3.41,618.843398809433,620.249403953552,1.41660118103027,1,2.3,622.582593917847,0,accrej,623.638791799545,0
220256,1,63,1000,74,-1000,0,0,-1,0,623.638791799545,3.05,626.748739004135,628.820578813553,2.08319497108459,1,1.53,630.410050868988,0,accrej,631.472132921219,0
220256,1,64,1000,182,180,1,0,0,0,631.472132921219,2.16,633.681074857712,635.425125837326,1.73940014839172,1,3.14,638.597326993942,0,new_learn,639.642246961594,0
220256,1,65,1000,24,-1000,0,1,-1,0,639.642246961594,2.71,642.413395881653,643.752023935318,1.35113000869751,1,1.39,645.179533958435,0,accrej,646.235021829605,0
220256,1,66,1000,180,181,1,0,-1,0,646.235021829605,3.75,650.029115915298,651.211488962173,1.17528295516968,0,5.3,656.544981956482,0,new_learn,657.602444887161,0
220256,1,67,1000,180,182,1,0,-1,0,657.602444887161,3.71,661.360960006714,662.50470495224,1.13847279548645,0,2.05,665.110520839691,0,new_learn,666.147120952606,0
220256,1,68,1000,113,-1000,0,0,-1,0,666.147120952606,2,668.193806886673,669.871294975281,1.68154382705688,1,5.12,675.060342788696,0,accrej,676.110589981079,0
220256,1,69,1000,19,-1000,0,0,-1,0,676.110589981079,4.86,681.024917840958,683.21075797081,2.19647598266602,1,3.24,686.4935297966,0,accrej,687.545167922974,0
220256,1,70,1000,181,182,1,0,1,0,687.545167922974,2.22,689.810154914856,691.872844934464,2.05439400672913,1,1.21,694.46079492569,695.469930887222,new_learn,697.99844789505,0
220256,1,71,1000,34,-1000,0,0,1,0,697.99844789505,2.85,700.893583774567,702.295945882797,1.40615701675415,1,2.91,705.260605812073,0,accrej,706.328465938568,0
220256,1,72,1000,182,181,1,1,0,0,706.328465938568,2.87,709.254785776138,710.815624952316,1.55264806747437,1,3.42,714.277367830276,0,new_learn,715.332242965698,0
