"subject_name","session","block","trial","stim1","stim2","feedback","C_st","C","o","stim_time","choice_time","feedback_time","acc","p_r1","p_pun1","p_r2","p_pun2","Q_chosen","Q_chosen_new","Q_unchosen","RPE","delta_Q","log_asym","R_mean","R_r","R_pun","outcome","RPE_wins","Q_chosen_wins","Q_unchosen_wins","Q_chosen_new_wins","delta_Q_wins","run_number","Q_diff"
221604,40,1000,66,182,180,0,0,182,0,1621286866259,1621286867395,1621286873809,1,0.15,0.15,0.15,0.7,0.561084077124015,NA,-2.8027786716901,NA,NA,-0.346453085447406,2.33989335076065,1.96379426993405,-2.8027786716901,"nothing",NA,0.561084077124015,-2.8027786716901,NA,NA,1,3.36386274881411
221604,40,1000,70,180,181,0,1,181,1,1621286905727,1621286906669,1621286910336,1,0.15,0.7,0.7,0.15,1.12249836848928,NA,-2.8027786716901,NA,NA,-0.346453085447406,2.33989335076065,1.96379426993405,-2.8027786716901,"win",NA,1.12249836848928,-2.8027786716901,NA,NA,1,3.92527704017937
221604,40,1000,72,181,182,0,0,181,1,1621286925311,1621286926440,1621286930955,1,0.7,0.15,0.15,0.15,1.12249836848928,NA,0.561084077124015,NA,NA,-0.346453085447406,2.33989335076065,1.96379426993405,-2.8027786716901,"win",NA,1.12249836848928,0.561084077124015,NA,NA,1,0.561414291365262
221604,40,1000,82,180,182,0,1,182,0,1621287018223,1621287019355,1621287025043,1,0.15,0.7,0.15,0.15,0.561084077124015,NA,-2.8027786716901,NA,NA,-0.346453085447406,2.33989335076065,1.96379426993405,-2.8027786716901,"nothing",NA,0.561084077124015,-2.8027786716901,NA,NA,1,3.36386274881411
221604,40,1000,83,181,182,0,0,181,0,1621287032104,1621287033095,1621287036701,1,0.7,0.15,0.15,0.15,0.918617892372021,NA,0.561084077124015,NA,NA,-0.346453085447406,2.33989335076065,1.96379426993405,-2.8027786716901,"nothing",NA,0.918617892372021,0.561084077124015,NA,NA,1,0.357533815248006
221604,40,1000,84,182,180,0,0,182,1,1621287041820,1621287042822,1621287048344,1,0.15,0.15,0.15,0.7,0.561084077124015,NA,-2.8027786716901,NA,NA,-0.346453085447406,2.33989335076065,1.96379426993405,-2.8027786716901,"win",NA,0.561084077124015,-2.8027786716901,NA,NA,1,3.36386274881411
221604,40,1001,4,183,184,0,1,184,1,1621287125696,1621287126849,1621287132622,1,0.15,0.7,0.7,0.15,1.96379426993405,NA,0,NA,NA,-0.346453085447406,2.33989335076065,1.96379426993405,-2.8027786716901,"win",NA,1.96379426993405,0,NA,NA,2,1.96379426993405
221604,40,1001,5,185,183,0,0,185,1,1621287137771,1621287138884,1621287144080,1,0.5,0.5,0.15,0.7,0,NA,0,NA,NA,-0.346453085447406,2.33989335076065,1.96379426993405,-2.8027786716901,"win",NA,0,0,NA,NA,2,0
221604,40,1001,12,183,185,0,0,183,-1,1621287208144,1621287209492,1621287213484,0,0.15,0.7,0.5,0.5,0,NA,-2.8027786716901,NA,NA,-0.346453085447406,2.33989335076065,1.96379426993405,-2.8027786716901,"loss",NA,0,-2.8027786716901,NA,NA,2,2.8027786716901
221604,40,1001,16,184,183,0,0,184,1,1621287242102,1621287243073,1621287246946,1,0.7,0.15,0.15,0.7,1.96379426993405,NA,1.96379426993405,NA,NA,-0.346453085447406,2.33989335076065,1.96379426993405,-2.8027786716901,"win",NA,1.96379426993405,1.96379426993405,NA,NA,2,0
221604,40,1001,17,185,184,0,1,184,1,1621287251660,1621287252556,1621287256240,1,0.5,0.5,0.7,0.15,1.96379426993405,NA,-2.8027786716901,NA,NA,-0.346453085447406,2.33989335076065,1.96379426993405,-2.8027786716901,"win",NA,1.96379426993405,-2.8027786716901,NA,NA,2,4.76657294162415
221604,40,1001,18,183,185,0,0,183,0,1621287258409,1621287259339,1621287265234,0,0.15,0.7,0.5,0.5,1.96379426993405,NA,-2.8027786716901,NA,NA,-0.346453085447406,2.33989335076065,1.96379426993405,-2.8027786716901,"nothing",NA,1.96379426993405,-2.8027786716901,NA,NA,2,4.76657294162415
221604,40,1001,23,183,185,0,0,183,1,1621287305637,1621287306993,1621287313185,0,0.15,0.7,0.5,0.5,1.96379426993405,NA,-2.8027786716901,NA,NA,-0.346453085447406,2.33989335076065,1.96379426993405,-2.8027786716901,"win",NA,1.96379426993405,-2.8027786716901,NA,NA,2,4.76657294162415
221604,40,1001,30,184,183,0,0,184,1,1621287366795,1621287367972,1621287371613,1,0.7,0.15,0.15,0.7,1.57103541594724,NA,1.96379426993405,NA,NA,-0.346453085447406,2.33989335076065,1.96379426993405,-2.8027786716901,"win",NA,1.57103541594724,1.96379426993405,NA,NA,2,-0.392758853986811
